Mã,Tên ngân hàng,Sàn
ACB,Ngân hàng Thương mại Cổ phần Á Châu,HSX
BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,HSX
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,HSX
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,HSX
EVF,Công ty Tài chính cổ phần Điện lực,HSX
HDB,Ngân hàng TMCP Phát triển T.P Hồ Chí Minh,HSX
LPB,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt,HSX
MBB,Ngân hàng Thương mại cổ phần Quân đội,HSX
MSB,Ngân hàng Thương mại cổ phần Hàng hải Việt Nam,HSX
OCB,Ngân hàng Thương mại cổ phần Phương Đông,HSX
SHB,Ngân hàng Thương mại cổ phần Sài Gòn - Hà Nội,HSX
SSB,Ngân hàng Thương mại cổ phần Đông Nam Á,HSX
STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,HSX
TCB,Ngân hàng TMCP Kỹ Thương Việt Nam (Techcombank),HSX
TPB,Ngân hàng Thương mại cổ phần Tiên Phong,HSX
VCB,Ngân hàng Thương mại cổ phần Ngoại thương Việt Nam,HSX
VIB,Ngân hàng Thương mại cổ phần Quốc tế Việt Nam,HSX
VPB,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,HSX
